# En P2nd_percent P3rd_percent
1.00000000e+00 0.00000000e+00 0.00000000e+00
2.00000000e+00 0.00000000e+00 0.00000000e+00
3.00000000e+00 0.00000000e+00 0.00000000e+00
4.00000000e+00 1.00000000e-02 0.00000000e+00
5.00000000e+00 5.60000000e-01 0.00000000e+00
6.00000000e+00 2.71000000e+01 0.00000000e+00
7.00000000e+00 6.19600000e+01 0.00000000e+00
8.00000000e+00 6.13200000e+01 0.00000000e+00
9.00000000e+00 6.21400000e+01 0.00000000e+00
1.00000000e+01 6.45400000e+01 0.00000000e+00
1.10000000e+01 6.63400000e+01 0.00000000e+00
1.20000000e+01 6.74200000e+01 8.00000000e-02
1.30000000e+01 6.58300000e+01 4.68000000e+00
1.40000000e+01 5.86100000e+01 1.69000000e+01
1.50000000e+01 5.29800000e+01 2.61700000e+01
1.60000000e+01 5.07500000e+01 3.08400000e+01
1.70000000e+01 5.05800000e+01 3.36200000e+01
1.80000000e+01 4.96100000e+01 3.64300000e+01
1.90000000e+01 4.53100000e+01 3.76000000e+01
2.00000000e+01 3.79000000e+01 3.43900000e+01
