# En nubar sigma_nu
1.00000000e+00 2.53150000e+00 1.13824767e+00
2.00000000e+00 2.57160000e+00 1.13959354e+00
3.00000000e+00 2.73610000e+00 1.14466449e+00
4.00000000e+00 2.90240000e+00 1.13202219e+00
5.00000000e+00 3.07710000e+00 1.13611425e+00
6.00000000e+00 3.49000000e+00 1.19042009e+00
7.00000000e+00 3.48130000e+00 1.12953544e+00
8.00000000e+00 3.56500000e+00 1.11757550e+00
9.00000000e+00 3.69440000e+00 1.11310765e+00
1.00000000e+01 3.82380000e+00 1.12087179e+00
1.10000000e+01 3.97400000e+00 1.12832797e+00
1.20000000e+01 4.11920000e+00 1.12942081e+00
1.30000000e+01 4.28030000e+00 1.14049634e+00
1.40000000e+01 4.45730000e+00 1.14183042e+00
1.50000000e+01 4.59280000e+00 1.14437239e+00
1.60000000e+01 4.71640000e+00 1.14663466e+00
1.70000000e+01 4.83370000e+00 1.16397780e+00
1.80000000e+01 4.95230000e+00 1.15871684e+00
1.90000000e+01 5.07520000e+00 1.16633827e+00
2.00000000e+01 5.19380000e+00 1.17475170e+00
