# En P0 P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14
1.00000000e+00 4.20000000e-02 1.21300000e-01 3.38200000e-01 2.95100000e-01 1.71300000e-01 2.93000000e-02 2.80000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.00000000e+00 3.85000000e-02 1.16500000e-01 3.32800000e-01 2.97700000e-01 1.79600000e-01 3.15000000e-02 3.30000000e-03 1.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
3.00000000e+00 2.65000000e-02 1.01600000e-01 2.98300000e-01 3.11400000e-01 2.12200000e-01 4.51000000e-02 4.90000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
4.00000000e+00 1.81000000e-02 7.72000000e-02 2.73900000e-01 3.19500000e-01 2.43800000e-01 6.16000000e-02 5.60000000e-03 3.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
5.00000000e+00 1.29000000e-02 6.00000000e-02 2.37500000e-01 3.19900000e-01 2.76700000e-01 8.31000000e-02 9.20000000e-03 7.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
6.00000000e+00 5.70000000e-03 3.38000000e-02 1.67000000e-01 2.87100000e-01 3.13000000e-01 1.55200000e-01 3.46000000e-02 3.50000000e-03 1.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
7.00000000e+00 1.40000000e-03 3.92000000e-02 1.39800000e-01 3.31000000e-01 3.04300000e-01 1.54900000e-01 2.80000000e-02 1.40000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
8.00000000e+00 5.00000000e-04 3.29000000e-02 1.25000000e-01 3.21300000e-01 3.18800000e-01 1.68300000e-01 3.10000000e-02 2.10000000e-03 1.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
9.00000000e+00 5.00000000e-04 2.45000000e-02 1.02500000e-01 3.09800000e-01 3.24200000e-01 1.95800000e-01 3.92000000e-02 3.50000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.00000000e+01 2.00000000e-04 2.11000000e-02 8.33000000e-02 2.86500000e-01 3.29900000e-01 2.21800000e-01 5.24000000e-02 4.80000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.10000000e+01 4.00000000e-04 1.59000000e-02 6.73000000e-02 2.56700000e-01 3.28300000e-01 2.56600000e-01 6.67000000e-02 7.80000000e-03 3.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.20000000e+01 3.00000000e-04 1.18000000e-02 5.55000000e-02 2.21900000e-01 3.32500000e-01 2.79300000e-01 8.71000000e-02 1.12000000e-02 4.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.30000000e+01 2.00000000e-04 8.80000000e-03 4.24000000e-02 1.93300000e-01 3.21800000e-01 3.02000000e-01 1.12400000e-01 1.76000000e-02 1.50000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.40000000e+01 2.00000000e-04 5.50000000e-03 3.17000000e-02 1.60800000e-01 3.08100000e-01 3.18600000e-01 1.46900000e-01 2.64000000e-02 1.80000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.50000000e+01 2.00000000e-04 3.60000000e-03 2.81000000e-02 1.32400000e-01 2.92900000e-01 3.33400000e-01 1.71400000e-01 3.52000000e-02 2.80000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.60000000e+01 0.00000000e+00 3.10000000e-03 2.28000000e-02 1.13900000e-01 2.72900000e-01 3.42400000e-01 1.95800000e-01 4.53000000e-02 3.70000000e-03 1.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.70000000e+01 0.00000000e+00 2.60000000e-03 2.01000000e-02 1.01000000e-01 2.46400000e-01 3.48800000e-01 2.16100000e-01 5.83000000e-02 6.70000000e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.80000000e+01 0.00000000e+00 1.60000000e-03 1.70000000e-02 8.39000000e-02 2.27700000e-01 3.53200000e-01 2.37800000e-01 6.95000000e-02 8.80000000e-03 5.00000000e-04 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
